HNCO               2   232.400     3.828     0.000     0.000     1.000 ! Chemkin transport database
HOCN               2   232.400     3.828     0.000     0.000     1.000  !(JAM)
HCNO               2   232.400     3.828     0.000     0.000     1.000 ! JAM

! Sarathy et al 2018 TRF+ethanol
NC7H16                2   459.6   6.253   0.0 0.0 1.0 !   TCPC
NC7H15                2   437.3   6.168   0.0 0.0 1.0 !   WJP
NC7H14          2   457.8   6.173   0.3 0.0 1.0 !   TCPC
NC7H15OO        2   561.0   6.317   1.7 0.0 1.0 !   WJP
NC7H14OOH       2   561.0   6.317   1.7 0.0 1.0 !   WJP
OONC7H14OOH     2   677.149     6.436     0.000     0.000     0.000    !  C6H12OOH3-6O2 MM
NC7KET          2   581.3   6.506   2.0 0.0 1.0 !   1C8H17OH WJP
IC8H18                2   458.5   6.414   0.0 0.0 1.0 !   WJP
C8H17           2   458.5   6.414   0.0 0.0 1.0 !   WJP
C8H16           2   485.6   6.440   0.3 0.0 1.0 !   WJP
C8H17O2         2   581.3   6.506   2.0 0.0 1.0 
C8H16OOH        2   581.3   6.506   2.0 0.0 1.0 !   WJP, C8H17OH-1
C8H16OOH-O2     2   581.3   6.506   2.0 0.0 1.0 !   WJP, C8H17OH-1
IC8KET          2   581.3   6.506   2.0 0.0 1.0 !   WJP, C8H17OH-1
NC5H11CO              2   498.6   6.009   2.0 0.0 1.0 !  C2H5COC3H7-N WJP
