!L. Ruwe et al., The C5 chemistry preceding the formation of polycyclic aromatic hydrocarbons in a premixed 1-pentene flame
!Submitted to Combustion and Flame 
#SpecName               Dummy       eps/k       sigma    Dummy    Dummy    Dummy
HO2CH2OCHO                  2     395.000       4.037    0.000    0.000    0.000
O2CH2OCH2O2H                2     395.000       4.037    0.000    0.000    0.000


C2H3CO                      2     379.854       4.632    0.000    0.000    0.000
C2H3CHO                     2     428.800       4.958    0.000    0.000    0.000
CH3CHCO                     2     383.872       4.660    0.000    0.000    0.000
CH2CCH2OH                   2     387.860       4.687    0.000    0.000    0.000
C3H5O                       2     411.000       4.820    0.000    0.000    0.000
C2H5CO                      2     387.860       4.687    0.000    0.000    0.000
CH3COCH2                    2     387.860       4.687    0.000    0.000    0.000
C2H5CHO                     2     391.819       4.715    0.000    0.000    0.000
CH3COCH3                    2     391.819       4.715    0.000    0.000    0.000
NXC3H7O                     2     395.749       4.741    0.000    0.000    0.000
CH3COCH2O                   2     447.639       5.086    0.000    0.000    0.000
NXC3H7O2                    2     454.761       5.132    0.000    0.000    0.000
C3H6OOH1-2                  2     454.761       5.132    0.000    0.000    0.000
C3H6OOH2-1                  2     454.761       5.132    0.000    0.000    0.000
IXC3H7O2                    2     454.761       5.132    0.000    0.000    0.000
CH3COCH2O2                  2     502.115       5.429    0.000    0.000    0.000
CH3COCH2O2H                 2     505.403       5.449    0.000    0.000    0.000

C4H7                        2     380.022       4.633    0.000    0.000    0.000
IXC4H7                      2     380.022       4.633    0.000    0.000    0.000
C4H8-1                      2     384.039       4.661    0.000    0.000    0.000
IXC4H8                      2     384.039       4.661    0.000    0.000    0.000

!C6H2                        0     495.300       5.680    0.000    0.000    0.000
!A1                          0     464.800       5.290    0.000    0.000    0.000
! Nguyen, Peeters & Vereecken - JPCA (2007) 

A1OXC6H5O          2   410.0       5.92      0.00      0.00      0.000
A1OH               2   410.0       5.92      0.00      0.00      0.000

                                                                                
! The Lennard-Jones parameters of polycyclic aromatic hydrocarbons were estimated 
! based on the critical temperature and pressure. See H. Wang and M. Frenklach,   
! "Transport Properties of Polycyclic Aromatic Hydrocarbons for Flame Modeling."

! Same as Benzene  
OXC6H4             2   464.8       5.29      0.00     10.32      1.000
A1XXC6H5           2   464.8       5.29      0.00     10.32      1.000
A1XC6H6            2   464.8       5.29      0.00     10.32      1.000
C5H4CH2            2   464.8       5.29      0.00     10.32      1.000
CXC6H6O            2   464.8       5.29      0.00     10.32      1.000
OC6H4O             2   464.8       5.29      0.00     10.32      1.000
A1O2               2   464.8       5.29      0.00     10.32      1.000

! Same as toluene
A1CH3              2   495.3       5.68      0.43     12.30      1.000
A1CH2              2   495.3       5.68      0.43     12.30      1.000
A1CH3Y             2   495.3       5.68      0.43     12.30      1.000
A1CHO              2   495.3       5.68      0.43     12.30      1.000
A1CO               2   495.3       5.68      0.43     12.30      1.000
A1CH2O             2   495.3       5.68      0.43     12.30      1.000
A1CH2OH            2   495.3       5.68      0.43     12.30      1.000
HOA1CH3            2   495.3       5.68      0.43     12.30      1.000
OA1CH3             2   495.3       5.68      0.43     12.30      1.000

C6H2               1   495.3       5.68      0.43     12.30      1.000
C8H2               1   495.3       5.68      0.43     12.30      1.000

! Phenyl-acetylene
A1C2H              2   535.6       5.72      0.77     12.00      1.000
A1C2HY             2   535.6       5.72      0.77     12.00      1.000
A1C2HX             2   535.6       5.72      0.77     12.00      1.000

! Styrene
A1C2H5             2   546.2       6.00      0.13     15.00      1.000
A1C2H4             2   546.2       6.00      0.13     15.00      1.000
A1C2H3             2   546.2       6.00      0.13     15.00      1.000
A1C2H3Y            2   546.2       6.00      0.13     15.00      1.000
A1C2H2             2   546.2       6.00      0.13     15.00      1.000
C8H9O2             2   546.2       6.00      0.13     15.00      1.000
C8H8OOH            2   546.2       6.00      0.13     15.00      1.000
OC8H7OOH           2   546.2       6.00      0.13     15.00      1.000

A1CH3CH3           2   546.2       6.00      0.13     15.00      1.000
A1CH3CH2           2   546.2       6.00      0.13     15.00      1.000
A1CH3CHO           2   546.2       6.00      0.13     15.00      1.000
A1CHOCH2           2   546.2       6.00      0.13     15.00      1.000
A1CHOCHO           2   546.2       6.00      0.13     15.00      1.000

! Napthalene
A2XC10H8           2   630.4       6.18      0.00     16.50      1.000
C9H8               2   630.4       6.18      0.00     16.50      1.000
C9H7               2   630.4       6.18      0.00     16.50      1.000
C9H6O              2   630.4       6.18      0.00     16.50      1.000
A2OXC10H7O         2   630.4       6.18      0.00     16.50      1.000
A2OH               2   630.4       6.18      0.00     16.50      1.000
A2XXC10H7          2   630.4       6.18      0.00     16.50      1.000
A2YXC10H7          2   630.4       6.18      0.00     16.50      1.000

! Acenaphthylene
A2CH2              2   693.1       6.47      0.00     18.00      1.000
A2CH3              2   693.1       6.47      0.00     18.00      1.000
A2CH2O             2   693.1       6.47      0.00     18.00      1.000
A2CHO              2   693.1       6.47      0.00     18.00      1.000
A2R5               2   693.1       6.47      0.00     18.00      1.000
A2R5X              2   693.1       6.47      0.00     18.00      1.000
A2C2HA             2   693.1       6.47      0.00     18.00      1.000
A2C2HB             2   693.1       6.47      0.00     18.00      1.000
A2C2HAY            2   693.1       6.47      0.00     18.00      1.000
A2C2HBY            2   693.1       6.47      0.00     18.00      1.000
A2C2H2A            2   693.1       6.47      0.00     18.00      1.000
A2C2H2B            2   693.1       6.47      0.00     18.00      1.000
A2R5C2HY           2   772.8       6.94      0.00     18.00      1.000
A2R5C2H            2   772.8       6.94      0.00     18.00      1.000

! Phenanthrene
A3XC14H10          2   772.0       6.96      0.00     38.80      1.000
A3XXC14H9          2   772.0       6.96      0.00     38.80      1.000
A3YXC14H9          2   772.0       6.96      0.00     38.80      1.000
A2R5C2H2           2   772.0       6.96      0.00     38.80      1.000

! Acephenanthrylene
A3R5               2   837.5       7.28      0.00      0.00      0.000
A3R5X              2   837.5       7.28      0.00      0.00      0.000

! Pyrene
A4XC16H10          2   834.9       7.24      0.00     45.00      1.000
A4XXC16H9          2   834.9       7.24      0.00     45.00      1.000
A4R5               2   834.9       7.24      0.00     45.00      1.000
FLTN               2   834.9       7.24      0.00     45.00      1.000

! Biphenyl
P2XC12H10          2   676.5       6.31      0.00     20.00      1.000
P2XXC12H9          2   676.5       6.31      0.00     20.00      1.000
B2                 2   676.5       6.31      0.00     20.00      1.000

!GRI3.0
H2CN               1   569.000     3.630     0.000     0.000     1.000 ! os/jm
HCN                1   569.000     3.630     0.000     0.000     1.000 ! OIS
HNO                2   116.700     3.492     0.000     0.000     1.000 ! *
N                  0    71.400     3.298     0.000     0.000     0.000 ! *
NNH                2    71.400     3.798     0.000     0.000     1.000 ! *
N2O                1   232.400     3.828     0.000     0.000     1.000 ! *
NH                 1    80.000     2.650     0.000     0.000     4.000
NH2                2    80.000     2.650     0.000     2.260     4.000
NH3                2   481.000     2.920     1.470     0.000    10.000
NO                 1    97.530     3.621     0.000     1.760     4.000
NO2                2   200.000     3.500     0.000     0.000     1.000 ! *
HCNO               2   232.400     3.828     0.000     0.000     1.000 ! JAM
HOCN               2   232.400     3.828     0.000     0.000     1.000 ! JAM
HNCO               2   232.400     3.828     0.000     0.000     1.000 ! OIS
NCO                1   232.400     3.828     0.000     0.000     1.000 ! OIS
CN                 1    75.000     3.856     0.000     0.000     1.000 ! OIS
HCNN               2   150.000     2.500     0.000     0.000     1.000 ! *

NXC5H12                2   391.7   5.591   0.0 0.0 1.0 !   WJP
IXC5H12                2   382.1   5.548   0.0 0.0 1.0 !   WJP


AXC5H11              2   523.2   5.664   1.7 0.0 1.0 !   WJP
BXC5H11              2   523.2   5.664   1.7 0.0 1.0 !   WJP
CXC5H11              2   523.2   5.664   1.7 0.0 1.0 !   WJP
DXC5H11              2   523.2   5.664   1.7 0.0 1.0 !   WJP

C5H11X1             2   523.2   5.664   1.7 0.0 1.0 !   WJP
C5H11X2             2   523.2   5.664   1.7 0.0 1.0 !   WJP
C5H11X3             2   523.2   5.664   1.7 0.0 1.0 !   WJP

!C5H11OH-1             2   523.2   5.664   1.7 0.0 1.0 !   WJP, TCPC, 1-PENTANOL
!IC5H11OH-1            2   451.9   6.041   0.0 0.0 1.0 !   WJP
!IC5H11OH-2            2   431.4   5.624   1.9 0.0 1.0 !   WJP
C5H11OX1              2   523.2   5.664   1.7 0.0 1.0 !   WJP, 1C5H11OH
C5H11OX2              2   523.2   5.664   1.7 0.0 1.0 !   WJP, 1C5H11OH
C5H11OX3              2   523.2   5.664   1.7 0.0 1.0 !   WJP, 1C5H11OH

AXC5H11O               2   523.2   5.664   1.7 0.0 1.0 !   WJP, 1C5H11OH
BXC5H11O               2   523.2   5.664   1.7 0.0 1.0 !   WJP, 1C5H11OH
CXC5H11O               2   523.2   5.664   1.7 0.0 1.0 !   WJP, 1C5H11OH
DXC5H11O               2   523.2   5.664   1.7 0.0 1.0 !   WJP, 1C5H11OH
!NEOC5H11O             2   523.2   5.664   1.7 0.0 1.0 !   WJP, 1C5H11OH
!C2H5COC2H5            2   476.7   5.714   2.7 0.0 1.0 !   WJP
!IC3H7COCH3            2   469.0   5.632   2.8 0.0 1.0 !   WJP
!NC3H7COCH3            2   477.0   5.735   2.5 0.0 1.0 !   WJP
!CXC5H10               2   372.1   5.446   0.0 0.0 1.0 !   WJP, TCPC, 3-METHYL-1-BUTENE
CXC5H10                2   372.1   5.446   0.0 0.0 1.0 !   WJP, TCPC, 3-METHYL-1-BUTENE
BXC5H10                2   391.4   5.550   0.0 0.0 1.0 !   WJP
AXC5H10                2   386.6   5.532   0.5 0.0 1.0 !   WJP

C5H10X2               2   396.8   5.458   0.0 0.0 1.0 !   WJP
C5H10X1               2   386.2   5.489   0.4 0.0 1.0 !   WJP

C5H91X1               2   396.8   5.458   0.0 0.0 1.0 !   WJP
C5H91X3               2   396.8   5.458   0.0 0.0 1.0 !   WJP
C5H91X4               2   396.8   5.458   0.0 0.0 1.0 !   WJP
C5H91X5               2   396.8   5.458   0.0 0.0 1.0 !   WJP
C5H92X4               2   396.8   5.458   0.0 0.0 1.0 !   WJP
C5H92X5               2   396.8   5.458   0.0 0.0 1.0 !   WJP

C5H81X3               2   408.0  5.200 0.0 0.0 1.0 !NMM
IXC5H9                 2   386.6   5.532   0.5 0.0 1.0 !   WJP
IXC3H7CO               2   436.4   5.352   0.0 0.0 1.0 !   WJP
NXC3H7CO               2   464.2   5.009   2.6 0.0 1.0 !   WJP
IXC3H6CHO              2   436.4   5.352   0.0 0.0 1.0 !   WJP
TXC3H6CHO              2   436.4   5.352   0.0 0.0 1.0 !   WJP
TXC3H6OCHO             2   436.4   5.352   0.0 0.0 1.0 !   WJP
IXC3H6CO               2   436.4   5.352   0.0 0.0 1.0 !   WJP
IXC3H5CHO              2   436.4   5.352   0.0 0.0 1.0 !   WJP
IXC3H5CO               2   436.4   5.352   0.0 0.0 1.0 !   WJP
!IXC4H8                 2   344.5   5.089   0.5 0.0 1.0 !   WJP

PXC4H9              2   352.000     5.240     0.000     0.000     1.000 ! NMM
SXC4H9              2   352.000     5.240     0.000     0.000     1.000 ! NMM
TXC4H9              2   352.000     5.240     0.000     0.000     1.000 ! NMM
IXC4H9              2   352.000     5.240     0.000     0.000     1.000 ! NMM
!IXC4H7              2   355.000     4.650     0.000     0.000     1.000 ! NMM
!I-C4H7-I1              2   380.022     4.633     0.000     0.000     0.000    !FLAMEMASTER
!IC3H7C4H71-1            2   355.000     4.650     0.000     0.000     1.000 ! NMM
C4H71X2            2   355.000     4.650     0.000     0.000     1.000 ! NMM
C4H71X3            2   355.000     4.650     0.000     0.000     1.000 ! NMM
C4H72X2            2   355.000     4.650     0.000     0.000     1.000 ! NMM
C4H71X4            2   355.000     4.650     0.000     0.000     1.000 ! C4H8 WJP
!C4H8               2   355.000     4.650     0.000     0.000     1.000 ! NMM
C4H8X1             2   355.000     4.650     0.000     0.000     1.000 ! NMM
C4H8X2             2   355.000     4.650     0.000     0.000     1.000 ! NMM
IXC3H7              2   303.400     4.810     0.000     0.000     1.000 ! NMM
!NXC3H7              2   303.400     4.810     0.000     0.000     1.000 ! NMM
IXC5H8        2        382.1        5.548        0        0        1        !!!        IC5H12
IXC5H7        2        382.1        5.548        0        0        1        !!!        IC5H12
IXC5H7O        2        430.1        5.833        0        0        1        !!!        IC6H12
AC5H9XA2        2        386.6        5.532        0.5        0        1        !!!        AC5H10
AC5H9XC        2        386.6        5.532        0.5        0        1        !!!        AC5H10
AC5H9XD        2        386.6        5.532        0.5        0        1        !!!        AC5H10
CC5H9XA        2        386.6        5.532        0.5        0        1        !!!        AC5H10
CC5H9XB        2        386.6        5.532        0.5        0        1        !!!        AC5H10
AC5H9OXA2        2        430.1        5.833        0        0        1        !!!        IC6H12
AC5H9OXC        2        430.1        5.833        0        0        1        !!!        IC6H13
CC5H9OXB        2        397.9        5.767        0        0        1        !!!        NEOC6H12


C5H7                          2   408.000     5.200     0.000     0.000     1.000 !
CVCCJCVC                      2   408.000     5.200     0.000     0.000     1.000 !
CVCCVCCJ                      2   408.000     5.200     0.000     0.000     1.000 !
CVCCJCVCOH                    2   523.200     5.664     1.700     0.000     1.000 !
HOCVCCVO                      2   435.200     4.662     2.700     0.000     1.000 !
CVCCVCCOH                     2   523.200     5.664     1.700     0.000     1.000 !

!added
C5H9O1X3           2   489.084     5.348     0.000     0.000     0.000
C5H9O2X4           2   489.084     5.348     0.000     0.000     0.000
SXC3H5CHO          2   436.950     5.016     0.000     0.000     0.000
C5H81X4            2   429.770     4.969     0.000     0.000     0.000
C5H6               2   422.346     4.920     0.000     0.000     0.000
C4H71X1            2   380.022     4.633     0.000     0.000     0.000
C4H8O1X2           2   444.197     5.063     0.000     0.000     0.000
C4H8O2X3           2   444.197     5.063     0.000     0.000     0.000
C4H7O              2   440.584     5.040     0.000     0.000     0.000
SXC3H5CO           2   433.294     4.992     0.000     0.000     0.000
CH3CO              2   329.328     4.271     0.000     0.000     0.000
IXC4H10            2   391.983     4.716     0.000     0.000     0.000
IC4H7XI1           2   380.022     4.633     0.000     0.000     0.000
C5H5               2   418.598     4.895     0.000     0.000     0.000
TXC5H5O            2   475.510     5.263     0.000     0.000     0.000
C5H4O              2   472.073     5.242     0.000     0.000     0.000
SXC5H5O            2   475.510     5.263     0.000     0.000     0.000


