#SpecName      Dummy     eps/k     sigma     Dummy     Dummy     Dummy
C3H6               2   266.800     4.982     0.000     0.000     1.000
C3H3               2   252.000     4.760     0.000     0.000     1.000
PXC3H4             2   252.000     4.760     0.000     0.000     1.000
AXC3H4             2   252.000     4.760     0.000     0.000     1.000
SXC3H5             2   266.800     4.982     0.000     0.000     1.000
NXC4H3             2   357.000     5.180     0.000     0.000     1.000
C2H3CHO            2   428.800     4.958     2.900     0.000     1.000
AXC3H5             2   266.800     4.982     0.000     0.000     1.000
C2O                1   232.400     3.828     0.000     0.000     1.000  
C4H4               2   357.000     5.180     0.000     0.000     1.000
C3H2               2   209.000     4.100     0.000     0.000     1.000
C3H2O              2   252.000     4.760     0.000     0.000     1.000
C4H2               1   357.000     5.180     0.000     0.000     1.000
IXC4H3             2   357.000     5.180     0.000     0.000     1.000
TXC3H5             2   266.800     4.982     0.000     0.000     1.000
C3H5O              2   411.000     4.820     0.000     0.000     1.000
C4H                2   357.000     5.180     0.000     0.000     1.000
C8H2               0   495.300     5.680     0.000     0.000     0.000
!C6H2              1   357.000     5.180     0.000     0.000     1.000
C6H2               1   495.3       5.68      0.43     12.30      1.000
C4H6               2   357.000     5.180     0.000     0.000     1.000
I-C4H5             2   357.000     5.180     0.000     0.000     1.000
N-C4H5             2   357.000     5.180     0.000     0.000     1.000



OCHO               2   481.800     3.626     0.000     0.000     0.000
HOCHO              2   436.000     3.970     0.000     0.000     2.000   !CPOH
!HOCH2O             2   481.800     3.626     0.000     0.000     0.000
HOCH2O             2   395.000     4.037     1.300     0.000    1.000
CH3O2H             2   481.800     3.626     0.000     0.000     1.000   !CPOH
O2CHO              2   403.204     4.792     0.000     0.000     0.000
HO2CHO             2   407.054     4.818     0.000     0.000     0.000
C2H4O2H            2   403.365     4.793     0.000     0.000     0.000
!
C2H3O1X2           2   329.328     4.271     0.000     0.000     0.000
CH3CO              2   329.328     4.271     0.000     0.000     0.000
C2H4OH             2   470.600     4.410     0.000     0.000     1.500   !CPOH
CH3CO2             2   395.000     4.037     0.000     0.000     0.000
C2H5O2             2   403.365     4.793     0.000     0.000     0.000
CH3CO3             2   454.613     5.131     0.000     0.000     0.000
CH3CO3H            2   458.145     5.153     0.000     0.000     0.000
!
HOC2H4O2           2   443.200     4.120     0.000     0.000     0.000
C2H5OH             2   470.600     4.410     0.000     0.000     1.500   !CPOH
CH3CHOH            2   470.600     4.410     0.000     0.000     1.500   !CPOH
!
CH3OCHO            2   395.000     4.037     1.300     0.000     1.000   ! CH3OCH3 (ZHAO ET AL IJCK 2007)
CH2OCHO            2   395.000     4.037     1.300     0.000     1.000 
CH3OCO             2   395.000     4.037     1.300     0.000     1.000 
CH3OCDOOO          2   435.200     4.662    2.700    0.000    1.000
CH2OCDOOOH         2   435.200     4.662     2.700    0.000    1.000
CYOCH2OCDO         2   435.200     4.662     2.700    0.000    1.000
OOCH2OCHO          2   435.200     4.662     2.700    0.000    1.000
HOOCH2OCDO         2   435.200     4.662     2.700     0.000     1.000
OCHOCHO            2   435.200     4.662     2.700     0.000    1.000
OCH2OOH            2   454.250     6.090     0.000     0.000     0.000
HOCH2O2            2   481.800     3.626    1.700     0.000     1.000
HOCH2O2H           2   481.800     3.626     0.000     0.000     0.000
CH3OCDOO           2   435.200     4.662     2.700     0.000     1.000
OCH2OCHO           2   395.000     4.037     2.700     0.000     1.000
HOOCH2OCHO         2   435.200     4.662     2.700     0.000     1.000
CH3OCDOOOH         2   435.200     4.662     2.700     0.000     1.000
HOOCH2OCDOOO       2   435.200     4.662     2.700     0.000     1.000
ODCHOCDOOOH        2   435.200     4.662    2.700     0.000     1.000
CH3OCH3            2   395.000     4.037     0.000     0.000     0.000
CH3OCH2            2   395.000     4.037     0.000     0.000     0.000
CH3OCH2O2          2   395.000     4.037     0.000     0.000     0.000
CH3OCH2O2H         2   395.000     4.037     0.000     0.000     0.000
CH2OCH2O2H         2   395.000     4.037     0.000     0.000     0.000
O2CH2OCH2O2H       2   395.000     4.037     0.000     0.000     0.000
CH3OCH2O           2   395.000     4.037     0.000     0.000     0.000
COCDOOC            2   543.400     5.095     1.700     0.000     1.000
COCDOOJ            2   543.400     5.095     1.700     0.000     1.000
COCDOOCH           2   543.400     5.095     1.700     0.000     1.000
COCDOOCJ           2   543.400     5.095     1.700     0.000     1.000
COCDOOCOOJ         2   471.430     6.350     0.000     0.000     0.000
COCDOOCOJ          2   454.223     6.160     0.000     0.000     0.000
CH2OCDOOCH2OOH     2   471.430     6.350     0.000     0.000     0.000
COCDOOCOOH         2   471.043     6.350     0.000     0.000     0.000
CYOCH2OCH2OCDO     2   520.155     6.580     0.000     0.000     0.000
OOCH2OCDOOCH2OOH   2   555.190     7.230     0.000     0.000     0.000
ODCHOCDOOCH2OOH    2   513.321     6.560     0.000     0.000     0.000
ODCHOCH2OCDO       2   457.092     5.970     0.000     0.000     0.000

!CPOH

C5H4CH2            2   464.8       5.29      0.00     10.32      1.000
A1XC6H6            2   464.8       5.29      0.00     10.32      1.000
A1XXC6H5           2   464.8       5.29      0.00     10.32      1.000
A1C2H2             2   546.2       6.00      0.13     15.00      1.000
A1C2H3             2   546.2       6.00      0.13     15.00      1.000
A1C2H              2   535.6       5.72      0.77     12.00      1.000
A1C2HY             2   535.6       5.72      0.77     12.00      1.000
A1C2H3Y            2   546.2       6.00      0.13     15.00      1.000
A2XXC10H7          2   630.4       6.18      0.00     16.50      1.000
A2XC10H8           2   630.4       6.18      0.00     16.50      1.000
A2YXC10H7          2   630.4       6.18      0.00     16.50      1.000
A2C2H2A            2   693.1       6.47      0.00     18.00      1.000
A2C2H2B            2   693.1       6.47      0.00     18.00      1.000
A2C2HA             2   693.1       6.47      0.00     18.00      1.000
A2C2HB             2   693.1       6.47      0.00     18.00      1.000
A2C2HAY            2   693.1       6.47      0.00     18.00      1.000
A2C2HBY            2   693.1       6.47      0.00     18.00      1.000
A2R5               2   693.1       6.47      0.00     18.00      1.000
A2R5X              2   693.1       6.47      0.00     18.00      1.000
A2R5C2H2           2   772.0       6.96      0.00     38.80      1.000
A2R5C2H            2   772.8       6.94      0.00     18.00      1.000
A2R5C2HY           2   772.8       6.94      0.00     18.00      1.000
P2XC12H10          2   676.5       6.31      0.00     20.00      1.000
P2XXC12H9          2   676.5       6.31      0.00     20.00      1.000
A3XXC14H9          2   772.0       6.96      0.00     38.80      1.000
A3XC14H10          2   772.0       6.96      0.00     38.80      1.000
A3YXC14H9          2   772.0       6.96      0.00     38.80      1.000
A3R5               2   837.5       7.28      0.00      0.00      0.000
A3R5X              2   837.5       7.28      0.00      0.00      0.00
A4XC16H10          2   834.9       7.24      0.00     45.00      1.000
A4XXC16H9          2   834.9       7.24      0.00     45.00      1.000
A4R5               2   834.9       7.24      0.00     45.00      1.000
FLTN               2   834.9       7.24      0.00     45.00      1.000
C5H6               2   400.0       5.20      0.00      0.00      0.000          
C5H5               2   400.0       5.20      0.00      0.00      1.000          
TXC5H5O            2   484.0       5.10      0.00      0.00      0.000
C5H4O              2   484.0       5.10      0.00      0.00      0.000
SXC5H5O            2   617.0       5.82      0.00      0.00      1.000
C9H8               2   630.4       6.18      0.00     16.50      1.000
C9H7               2   630.4       6.18      0.00     16.50      1.000
A1CH2              2   495.3       5.68      0.43     12.30      1.000
C9H6O              2   630.4       6.18      0.00     16.50      1.000
OXC6H4             2   464.8       5.29      0.00     10.32      1.000
A1CH3              2   495.3       5.68      0.43     12.30      1.000
A1OH               2   410.0       5.92      0.00      0.00      0.000
HOA1CH3            2   495.3       5.68      0.43     12.30      1.000
OA1CH3             2   495.3       5.68      0.43     12.30      1.000
A1CH2O             2   495.3       5.68      0.43     12.30      1.000
A1CH2OH            2   495.3       5.68      0.43     12.30      1.000
A1CHO              2   495.3       5.68      0.43     12.30      1.000
A1OXC6H5O          2   410.0       5.92      0.00      0.00      0.000
A1CH3Y             2   495.3       5.68      0.43     12.30      1.000
A1C2H4             2   546.2       6.00      0.13     15.00      1.000
A1C2H5             2   546.2       6.00      0.13     15.00      1.000
C8H9O2             2   546.2       6.00      0.13     15.00      1.000
C8H8OOH            2   546.2       6.00      0.13     15.00      1.000
OC8H7OOH           2   546.2       6.00      0.13     15.00      1.000
A1CH3CH3           2   546.2       6.00      0.13     15.00      1.000
A1CH3CH2           2   546.2       6.00      0.13     15.00      1.000
A1CH3CHO           2   546.2       6.00      0.13     15.00      1.000
A2CH3              2   693.1       6.47      0.00     18.00      1.000
A1CHOCH2           2   546.2       6.00      0.13     15.00      1.000
A1CHOCHO           2   546.2       6.00      0.13     15.00      1.000
A2OH               2   630.4       6.18      0.00     16.50      1.000
A2CH2              2   693.1       6.47      0.00     18.00      1.000
A2CH2O             2   693.1       6.47      0.00     18.00      1.000
A2CHO              2   693.1       6.47      0.00     18.00      1.000
A2OXC10H7O         2   630.4       6.18      0.00     16.50      1.000
OC6H4O             2   464.8       5.29      0.00     10.32      1.000
IXC4H5             2   357.000     5.180     0.000     0.000     1.000
NXC4H5             2   357.000     5.180     0.000     0.000     1.000
