#SpecName      Dummy     eps/k     sigma     Dummy     Dummy     Dummy
A1CO               2   495.3       5.68      0.43     12.30      1.000
A1CH2O             2   495.3       5.68      0.43     12.30      1.000
A1CH2OH            2   495.3       5.68      0.43     12.30      1.000
HOA1CH3            2   495.3       5.68      0.43     12.30      1.000
OA1CH3             2   495.3       5.68      0.43     12.30      1.000

!C6H2               2   495.3       5.68      0.43     12.30      1.000
C8H2               2   495.3       5.68      0.43     12.30      1.000

! Phenyl-acetylene
A1C2H              2   535.6       5.72      0.77     12.00      1.000
A1C2HY             2   535.6       5.72      0.77     12.00      1.000
A1C2HX             2   535.6       5.72      0.77     12.00      1.000

! Styrene
A1C2H5             2   546.2       6.00      0.13     15.00      1.000
A1C2H4             2   546.2       6.00      0.13     15.00      1.000
A1C2H3             2   546.2       6.00      0.13     15.00      1.000
A1C2H3Y            2   546.2       6.00      0.13     15.00      1.000
A1C2H2             2   546.2       6.00      0.13     15.00      1.000
C8H9O2             2   546.2       6.00      0.13     15.00      1.000
C8H8OOH            2   546.2       6.00      0.13     15.00      1.000
OC8H7OOH           2   546.2       6.00      0.13     15.00      1.000

A1CH3CH3           2   546.2       6.00      0.13     15.00      1.000
A1CH3CH2           2   546.2       6.00      0.13     15.00      1.000
A1CH3CHO           2   546.2       6.00      0.13     15.00      1.000
A1CHOCH2           2   546.2       6.00      0.13     15.00      1.000
A1CHOCHO           2   546.2       6.00      0.13     15.00      1.000

! Napthalene
A2XC10H8           2   630.4       6.18      0.00     16.50      1.000
C9H8               2   630.4       6.18      0.00     16.50      1.000
C9H7               2   630.4       6.18      0.00     16.50      1.000
C9H6O              2   630.4       6.18      0.00     16.50      1.000
A2OXC10H7O         2   630.4       6.18      0.00     16.50      1.000
A2OH               2   630.4       6.18      0.00     16.50      1.000
A2XXC10H7          2   630.4       6.18      0.00     16.50      1.000
A2YXC10H7          2   630.4       6.18      0.00     16.50      1.000
           
! Acenaphthylene
A2CH2              2   693.1       6.47      0.00     18.00      1.000
A2CH3              2   693.1       6.47      0.00     18.00      1.000
A2CH2O             2   693.1       6.47      0.00     18.00      1.000
A2CHO              2   693.1       6.47      0.00     18.00      1.000
A2R5               2   693.1       6.47      0.00     18.00      1.000
A2R5X              2   693.1       6.47      0.00     18.00      1.000
A2C2HA             2   693.1       6.47      0.00     18.00      1.000
A2C2HB             2   693.1       6.47      0.00     18.00      1.000
A2C2HAY            2   693.1       6.47      0.00     18.00      1.000
A2C2HBY            2   693.1       6.47      0.00     18.00      1.000
A2C2H2A            2   693.1       6.47      0.00     18.00      1.000
A2C2H2B            2   693.1       6.47      0.00     18.00      1.000
A2R5C2HY           2   772.8       6.94      0.00     18.00      1.000
A2R5C2H            2   772.8       6.94      0.00     18.00      1.000

! Phenanthrene
A3XC14H10          2   772.0       6.96      0.00     38.80      1.000
A3XXC14H9          2   772.0       6.96      0.00     38.80      1.000
A3YXC14H9          2   772.0       6.96      0.00     38.80      1.000
A2R5C2H2           2   772.0       6.96      0.00     38.80      1.000

! Acephenanthrylene
A3R5               2   837.5       7.28      0.00      0.00      0.000
A3R5X              2   837.5       7.28      0.00      0.00      0.000

! Pyrene
A4XC16H10          2   834.9       7.24      0.00     45.00      1.000
A4XXC16H9          2   834.9       7.24      0.00     45.00      1.000
A4R5               2   834.9       7.24      0.00     45.00      1.000
FLTN               2   834.9       7.24      0.00     45.00      1.000

! Biphenyl
P2XC12H10          2   676.5       6.31      0.00     20.00      1.000
P2XXC12H9          2   676.5       6.31      0.00     20.00      1.000
B2                 2   676.5       6.31      0.00     20.00      1.000


CH3O2              2   481.800     3.626     0.000     0.000     1.000
C2H5O              2   470.600     4.410     0.000     0.000     1.500
C2H3CHO            2   428.800     4.958     2.900     0.000     1.000
C3H5O              2   411.000     4.820     0.000     0.000     1.000

OCHO               2   498.000     3.590     0.000     0.000     2.000 ! wjp
HOCHO              2   436.000     3.970     0.000     0.000     2.000 ! wjp
HOCH2O             2   470.600     4.410     0.000     0.000     1.500 ! wjp
O2CHO              2   436.000     3.970     0.000     0.000     2.000 ! wjp
HO2CHO             2   436.000     3.970     0.000     0.000     2.000 ! wjp
CH3CO              2   436.000     3.970     0.000     0.000     2.000
CH3CO2             2   436.000     3.970     0.000     0.000     2.000 ! wjp
CH3CO3             2   436.000     3.970     0.000     0.000     2.000 ! wjp
CH3CO3H            2   436.000     3.970     0.000     0.000     2.000 ! wjp



CH3O2H             2   481.800     3.626     0.000     0.000     1.000 ! wjp
C2H4O2H            2   470.600     4.410     0.000     0.000     1.500
!C2H3O1X2           0   329.328     4.271     0.000     0.000     0.000
C2H3O1X2           2   436.000     3.970     0.000     0.000     2.000 ! wjp same as ch2co
C2H5OH             2   470.600     4.410     0.000     0.000     1.500 ! NMM
CH3CHOH            2   470.600     4.410     0.000     0.000     1.500
C2H4OH             2   470.600     4.410     0.000     0.000     1.500
C2H5O2             2   470.600     4.410     0.000     0.000     1.500 ! WJP    
!O2C2H4OH           2   523.2       5.664     1.7       0.0       1.0   ! WJP
!HOC2H4O2           0   443.200     4.120     0.000     0.000     0.000
HOC2H4O2           2   523.2       5.664     1.7       0.0       1.0   ! WJP
CH3CHCO            2   443.200     4.120     0.000     0.000     1.000 ! NMM
!CH3CHCO            0   383.872     4.660     0.000     0.000     0.000


CPOH		   2   340.190     5.897     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 610.586K Pc=  49.177bar Vc= 275.500cm3/mol Tb= 421.260K	(Alcohol, CsringHR3, CsringH2R2, CsringH2R2, CsringH2R2, CsringH2R2)
CPOHR1             2   336.269     5.823     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 610.586K Pc=  51.461bar Vc= 275.500cm3/mol Tb= 421.260K	(Alcohol, CsringHR3, CsringH2R2, CsringH2R2, CsringH2R2, CsringH2R2)
CPOHR2             2   336.269     5.823     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 610.586K Pc=  51.461bar Vc= 275.500cm3/mol Tb= 421.260K	(Alcohol, CsringHR3, CsringH2R2, CsringH2R2, CsringH2R2, CsringH2R2)
CPOHR3             2   336.269     5.823     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 610.586K Pc=  51.461bar Vc= 275.500cm3/mol Tb= 421.260K	(Alcohol, CsringHR3, CsringH2R2, CsringH2R2, CsringH2R2, CsringH2R2)
CPOHR4             2   336.269     5.823     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 610.586K Pc=  51.461bar Vc= 275.500cm3/mol Tb= 421.260K	(Alcohol, CsringHR3, CsringH2R2, CsringH2R2, CsringH2R2, CsringH2R2)
!#ROH              2   336.269     5.823     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 610.586K Pc=  51.461bar Vc= 275.500cm3/mol Tb= 421.260K	(Alcohol, CsringHR3, CsringH2R2, CsringH2R2, CsringH2R2, CsringH2R2)
CPOHR1O            2   279.567     6.089     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 701.128K Pc=  63.289bar Vc= 292.500cm3/mol Tb= 513.680K	(Alcohol, CsringR4, CsringH2R2, CsringH2R2, CsringH2R2, CsringH2R2, Alcohol)
CPOHR2O            2   273.721     6.306     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 688.959K Pc=  56.110bar Vc= 293.500cm3/mol Tb= 508.770K	(Alcohol, CsringHR3, CsringHR3, CsringH2R2, CsringH2R2, CsringH2R2, Alcohol)
CPOHR3O            2   273.721     6.306     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 688.959K Pc=  56.110bar Vc= 293.500cm3/mol Tb= 508.770K	(Alcohol, CsringHR3, CsringH2R2, CsringHR3, CsringH2R2, CsringH2R2, Alcohol)
CPOHR1OO           2   270.140     6.289     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 722.396K Pc=  61.611bar Vc= 310.500cm3/mol Tb= 536.100K	(Alcohol, CsringR4, CsringH2R2, CsringH2R2, CsringH2R2, CsringH2R2, Ether, Alcohol)
CPOHR2OO           2   265.093     6.511     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 710.542K Pc=  54.707bar Vc= 311.500cm3/mol Tb= 531.190K	(Alcohol, CsringHR3, CsringHR3, CsringH2R2, CsringH2R2, CsringH2R2, Ether, Alcohol)
CPOHR3OO           2   265.093     6.511     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 710.542K Pc=  54.707bar Vc= 311.500cm3/mol Tb= 531.190K	(Alcohol, CsringHR3, CsringH2R2, CsringHR3, CsringH2R2, CsringH2R2, Ether, Alcohol)
CPOH1OOH2          2   270.140     6.289     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 722.396K Pc=  61.611bar Vc= 310.500cm3/mol Tb= 536.100K	(Alcohol, CsringR4, CsringH2R2, CsringH2R2, CsringH2R2, CsringH2R2, Ether, Alcohol)
CPOH1OOH3          2   270.140     6.289     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 722.396K Pc=  61.611bar Vc= 310.500cm3/mol Tb= 536.100K	(Alcohol, CsringR4, CsringH2R2, CsringH2R2, CsringH2R2, CsringH2R2, Ether, Alcohol)
CPOH2OOH1          2   265.093     6.511     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 710.542K Pc=  54.707bar Vc= 311.500cm3/mol Tb= 531.190K	(Alcohol, CsringHR3, CsringHR3, CsringH2R2, CsringH2R2, CsringH2R2, Ether, Alcohol)
CPOH2OOH3          2   265.093     6.511     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 710.542K Pc=  54.707bar Vc= 311.500cm3/mol Tb= 531.190K	(Alcohol, CsringHR3, CsringHR3, CsringH2R2, CsringH2R2, CsringH2R2, Ether, Alcohol)
CPOH2OOH4          2   265.093     6.511     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 710.542K Pc=  54.707bar Vc= 311.500cm3/mol Tb= 531.190K	(Alcohol, CsringHR3, CsringHR3, CsringH2R2, CsringH2R2, CsringH2R2, Ether, Alcohol)
CPOH2OOH5          2   265.093     6.511     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 710.542K Pc=  54.707bar Vc= 311.500cm3/mol Tb= 531.190K	(Alcohol, CsringHR3, CsringHR3, CsringH2R2, CsringH2R2, CsringH2R2, Ether, Alcohol)
CPOH3OOH1          2   265.093     6.511     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 710.542K Pc=  54.707bar Vc= 311.500cm3/mol Tb= 531.190K	(Alcohol, CsringHR3, CsringH2R2, CsringHR3, CsringH2R2, CsringH2R2, Ether, Alcohol)
CPOH3OOH2          2   265.093     6.511     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 710.542K Pc=  54.707bar Vc= 311.500cm3/mol Tb= 531.190K	(Alcohol, CsringHR3, CsringH2R2, CsringHR3, CsringH2R2, CsringH2R2, Ether, Alcohol)
CPOH3OOH4          2   265.093     6.511     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 710.542K Pc=  54.707bar Vc= 311.500cm3/mol Tb= 531.190K	(Alcohol, CsringHR3, CsringH2R2, CsringHR3, CsringH2R2, CsringH2R2, Ether, Alcohol)
CPOH3OOH5          2   265.093     6.511     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 710.542K Pc=  54.707bar Vc= 311.500cm3/mol Tb= 531.190K	(Alcohol, CsringHR3, CsringH2R2, CsringHR3, CsringH2R2, CsringH2R2, Ether, Alcohol)
CPOH1OOH2OO        2   198.284     7.045     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 823.667K Pc=  65.884bar Vc= 346.500cm3/mol Tb= 646.030K	(Alcohol, CsringR4, CsringHR3, CsringH2R2, CsringH2R2, CsringH2R2, Ether, Alcohol, Ether, Alcohol)
CPOH1OOH3OO        2   198.284     7.045     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 823.667K Pc=  65.884bar Vc= 346.500cm3/mol Tb= 646.030K	(Alcohol, CsringR4, CsringH2R2, CsringHR3, CsringH2R2, CsringH2R2, Ether, Alcohol, Ether, Alcohol)
CPOH2OOH1OO        2   198.284     7.045     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 823.667K Pc=  65.884bar Vc= 346.500cm3/mol Tb= 646.030K	(Alcohol, CsringR4, CsringHR3, CsringH2R2, CsringH2R2, CsringH2R2, Ether, Alcohol, Ether, Alcohol)
CPOH2OOH3OO        2   198.573     7.289     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 813.701K Pc=  58.272bar Vc= 347.500cm3/mol Tb= 641.120K	(Alcohol, CsringHR3, CsringHR3, CsringHR3, CsringH2R2, CsringH2R2, Ether, Alcohol, Ether, Alcohol)
CPOH2OOH4OO        2   198.573     7.289     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 813.701K Pc=  58.272bar Vc= 347.500cm3/mol Tb= 641.120K	(Alcohol, CsringHR3, CsringHR3, CsringH2R2, CsringHR3, CsringH2R2, Ether, Alcohol, Ether, Alcohol)
CPOH2OOH5OO        2   198.573     7.289     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 813.701K Pc=  58.272bar Vc= 347.500cm3/mol Tb= 641.120K	(Alcohol, CsringHR3, CsringHR3, CsringH2R2, CsringH2R2, CsringHR3, Ether, Alcohol, Ether, Alcohol)
CPOH3OOH1OO        2   198.284     7.045     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 823.667K Pc=  65.884bar Vc= 346.500cm3/mol Tb= 646.030K	(Alcohol, CsringR4, CsringH2R2, CsringHR3, CsringH2R2, CsringH2R2, Ether, Alcohol, Ether, Alcohol)
CPOH3OOH2OO        2   198.573     7.289     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 813.701K Pc=  58.272bar Vc= 347.500cm3/mol Tb= 641.120K	(Alcohol, CsringHR3, CsringHR3, CsringHR3, CsringH2R2, CsringH2R2, Ether, Alcohol, Ether, Alcohol)
CPOH3OOH4OO        2   198.573     7.289     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 813.701K Pc=  58.272bar Vc= 347.500cm3/mol Tb= 641.120K	(Alcohol, CsringHR3, CsringH2R2, CsringHR3, CsringHR3, CsringH2R2, Ether, Alcohol, Ether, Alcohol)
CPOH3OOH5OO        2   198.573     7.289     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 813.701K Pc=  58.272bar Vc= 347.500cm3/mol Tb= 641.120K	(Alcohol, CsringHR3, CsringH2R2, CsringHR3, CsringH2R2, CsringHR3, Ether, Alcohol, Ether, Alcohol)
CPOHKET21          2   276.455     6.619     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 803.264K Pc=  61.903bar Vc= 317.500cm3/mol Tb= 603.920K	(Alcohol, CsringR4, Ketone_ring, CsringH2R2, CsringH2R2, CsringH2R2, Ketone_Ocentered, Ether, Alcohol)
CPOHKET23          2   272.300     6.854     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 791.370K Pc=  54.951bar Vc= 318.500cm3/mol Tb= 599.010K	(Alcohol, CsringHR3, Ketone_ring, CsringHR3, CsringH2R2, CsringH2R2, Ketone_Ocentered, Ether, Alcohol)
CPOHKET24          2   272.300     6.854     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 791.370K Pc=  54.951bar Vc= 318.500cm3/mol Tb= 599.010K	(Alcohol, CsringHR3, Ketone_ring, CsringH2R2, CsringHR3, CsringH2R2, Ketone_Ocentered, Ether, Alcohol)
CPOHKET25          2   272.300     6.854     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 791.370K Pc=  54.951bar Vc= 318.500cm3/mol Tb= 599.010K	(Alcohol, CsringHR3, Ketone_ring, CsringH2R2, CsringH2R2, CsringHR3, Ketone_Ocentered, Ether, Alcohol)
CPOHKET31          2   276.455     6.619     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 803.264K Pc=  61.903bar Vc= 317.500cm3/mol Tb= 603.920K	(Alcohol, CsringR4, CsringH2R2, Ketone_ring, CsringH2R2, CsringH2R2, Ketone_Ocentered, Ether, Alcohol)
CPOHKET32          2   272.300     6.854     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 791.370K Pc=  54.951bar Vc= 318.500cm3/mol Tb= 599.010K	(Alcohol, CsringHR3, CsringHR3, Ketone_ring, CsringH2R2, CsringH2R2, Ketone_Ocentered, Ether, Alcohol)
CPOHKET34          2   272.300     6.854     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 791.370K Pc=  54.951bar Vc= 318.500cm3/mol Tb= 599.010K	(Alcohol, CsringHR3, CsringH2R2, Ketone_ring, CsringHR3, CsringH2R2, Ketone_Ocentered, Ether, Alcohol)
CPOHKET35          2   272.300     6.854     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 791.370K Pc=  54.951bar Vc= 318.500cm3/mol Tb= 599.010K	(Alcohol, CsringHR3, CsringH2R2, Ketone_ring, CsringH2R2, CsringHR3, Ketone_Ocentered, Ether, Alcohol)
CPONE              2   421.288     5.761     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 622.273K Pc=  47.562bar Vc= 264.500cm3/mol Tb= 401.570K	(Ketone_Ocentered, Ketone_ring, CsringH2R2, CsringH2R2, CsringH2R2, CsringH2R2)
CPONER1            2   417.557     5.687     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 622.273K Pc=  49.733bar Vc= 264.500cm3/mol Tb= 401.570K	(Ketone_Ocentered, Ketone_ring, CsringH2R2, CsringH2R2, CsringH2R2, CsringH2R2)
CPONER2            2   417.557     5.687     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 622.273K Pc=  49.733bar Vc= 264.500cm3/mol Tb= 401.570K	(Ketone_Ocentered, Ketone_ring, CsringH2R2, CsringH2R2, CsringH2R2, CsringH2R2)
CPOHR1OOH          2   274.827     6.371     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 722.396K Pc=  58.629bar Vc= 310.500cm3/mol Tb= 536.100K	(Alcohol, CsringR4, CsringH2R2, CsringH2R2, CsringH2R2, CsringH2R2, Ether, Alcohol)
CPOHR2OOH          2   269.577     6.590     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 710.542K Pc=  52.207bar Vc= 311.500cm3/mol Tb= 531.190K	(Alcohol, CsringHR3, CsringHR3, CsringH2R2, CsringH2R2, CsringH2R2, Ether, Alcohol)
CPOHR3OOH          2   269.577     6.590     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 710.542K Pc=  52.207bar Vc= 311.500cm3/mol Tb= 531.190K	(Alcohol, CsringHR3, CsringH2R2, CsringHR3, CsringH2R2, CsringH2R2, Ether, Alcohol)

C5H9OH1X4          2	524.2   5.649   1.67  10.42   1 !SMS calc 2012 1-pentanol
C5H9OH1X1          2	524.2   5.649   1.67  10.42   1 !SMS calc 2012 1-pentanol
C5H8OH43           2	524.2   5.649   1.67  10.42   1 !SMS calc 2012 1-pentanol
C5H8OH21           2	524.2   5.649   1.67  10.42   1 !SMS calc 2012 1-pentanol
C3H5OH             2    481.5   4.997   1.7 0.0 1.0 !   wjp
C2H3OH             2    470.600     4.410     0.000     0.000     1.500 !
HOCO               2    498.000     3.590     0.000     0.000     2.000 !
!HCCOH              2    436.000     3.970     0.000     0.000     2.000 !

C5H7OH42           2	524.2   5.649   1.67  10.42   1 !SMS calc 2012 1-pentanol
C5H7OH13           2	524.2   5.649   1.67  10.42   1 !SMS calc 2012 1-pentanol
PC3H6OH            2   481.5   4.997   1.7 0.0 1.0 !   wjp, TcPc, 1-propanol
PC4H9              2   352.000     5.240     0.000     0.000     1.000 ! nmm
SC4H9              2   352.000     5.240     0.000     0.000     1.000 ! nmm
NXC4H9CHO          2   476.0   5.778   2.6 0.0 1.0 !   TcPc, Poling, 4th Ed.
NXC4H9CO           2   476.0   5.778   2.6 0.0 1.0 !   wjp
C5H10X1        	   1       449.68     5.33   0.4 0.0 1.0 !  calc SMS 2010
C5H91X1            1       449.68     5.33   0.4 0.0 1.0 ! taken from c5h91-1 calc SMS 2010 
C5H91X3            1       449.68     5.33   0.4 0.0 1.0 ! taken from c5h91-1 calc SMS 2010
CH2COH             2   395.0   4.037   1.3       0.0     1.0   ! ch3och3
C4H5OHX13          2     503.07     5.34     1.67     8.88     1     !SM Sarathy Combust Flame 2009
C4H7               2   355.000     4.650     0.000     0.000     1.000 ! nmm

C5H8OH2AXE         2   304.063     6.091     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 570.506K Pc=  42.887bar Vc= 316.500cm3/mol Tb= 402.540K	(Alcohol, CdR3, CdH2R, CsH3R, CsH2R2, CsH2R2)
C5H8OH3AXA         2   305.283     6.079     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 570.755K Pc=  43.056bar Vc= 309.500cm3/mol Tb= 402.220K	(Alcohol, CsHR3, CdHR2, CdH2R, CsH3R, CsH2R2)
C5H8OH4X1    	   2   305.322     6.125     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 579.749K Pc=  43.169bar Vc= 314.500cm3/mol Tb= 410.140K	(Alcohol, CdHR2, CdHR2, CsH2R2, CsH2R2, CsH3R)
C5H8OH2DXA    	   2   296.518     6.119     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 567.486K Pc=  42.607bar Vc= 315.500cm3/mol Tb= 402.660K	(Alcohol, CsH2R2, CdH2R, CdHR2, CsH2R2, CsH2R2)
C5H8OH1X4    	   2   305.283     6.079     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 570.755K Pc=  43.056bar Vc= 309.500cm3/mol Tb= 402.220K	(Alcohol, CsHR3, CsH2R2, CdHR2, CdH2R, CsH3R)
SC3H4OH            2   298.893     5.345     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 525.494K Pc=  56.110bar Vc= 204.500cm3/mol Tb= 356.780K	(Alcohol, CdR3, CdH2R, CsH3R)
PC3H4OHX3          2   300.783     5.377     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 535.055K Pc=  56.532bar Vc= 202.500cm3/mol Tb= 364.380K	(Alcohol, CdHR2, CdHR2, CsH3R)
